retrieved_at_vn,flight_date,direction,scheduled_time,estimated_time,route_airport,flight_number,status_raw,source_airport,route_airport_std,status_group,scheduled_dt,estimated_dt,delay_minutes,label_delay,flight_key,icao_code,report_time_utc,report_time_vn,temperature_c,dew_point_c,wind_direction_deg,wind_speed_kt,visibility_miles,cloud_cover,raw_metar,is_wind_variable,weather_age_minutes,scheduled_hour,scheduled_dayofweek,scheduled_month,sin_hour,cos_hour,airline_code,flight_num_only,minutes_to_departure_at_snapshot,is_estimated_missing,visibility_bin,temp_dew_spread,is_low_visibility
2026-04-18 00:10:37,2026-04-18,Departure,16:55,16:55,Hà Nội (HAN),VJ512,27-34,DN,HA NOI (HAN),other,2026-04-18 16:55:00,2026-04-18 16:55:00,0.0,0,DN|Departure|HA NOI (HAN)|VJ512|2026-04-18 16:55:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,16,5,4,-0.8660254037844384,-0.5000000000000004,VJ,512,1004.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,14:05,14:05,Hà Nội (HAN),VJ508,27-34,DN,HA NOI (HAN),other,2026-04-18 14:05:00,2026-04-18 14:05:00,0.0,0,DN|Departure|HA NOI (HAN)|VJ508|2026-04-18 14:05:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,14,5,4,-0.4999999999999997,-0.8660254037844388,VJ,508,834.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,12:40,12:40,Hà Nội (HAN),VJ1504,27-34,DN,HA NOI (HAN),other,2026-04-18 12:40:00,2026-04-18 12:40:00,0.0,0,DN|Departure|HA NOI (HAN)|VJ1504|2026-04-18 12:40:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,12,5,4,1.2246467991473532e-16,-1.0,VJ,1504,749.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,23:35,23:35,Hà Nội (HAN),QH146,43-45,DN,HA NOI (HAN),other,2026-04-18 23:35:00,2026-04-18 23:35:00,0.0,0,DN|Departure|HA NOI (HAN)|QH146|2026-04-18 23:35:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,23,5,4,-0.25881904510252157,0.9659258262890681,QH,146,1404.3833333333334,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,07:55,07:55,Hà Nội (HAN),QH104,43-45,DN,HA NOI (HAN),other,2026-04-18 07:55:00,2026-04-18 07:55:00,0.0,0,DN|Departure|HA NOI (HAN)|QH104|2026-04-18 07:55:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,7,5,4,0.9659258262890683,-0.25881904510252063,QH,104,464.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,10:20,10:20,Hà Nội (HAN),BL6080,17-20,DN,HA NOI (HAN),other,2026-04-18 10:20:00,2026-04-18 10:20:00,0.0,0,DN|Departure|HA NOI (HAN)|BL6080|2026-04-18 10:20:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,10,5,4,0.49999999999999994,-0.8660254037844387,BL,6080,609.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,22:25,22:25,Hà Nội (HAN),9G942,35-39,DN,HA NOI (HAN),other,2026-04-18 22:25:00,2026-04-18 22:25:00,0.0,0,DN|Departure|HA NOI (HAN)|9G942|2026-04-18 22:25:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,22,5,4,-0.5000000000000004,0.8660254037844384,9G,9,1334.3833333333334,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,13:50,13:50,Hà Nội (HAN),9G922,35-39,DN,HA NOI (HAN),other,2026-04-18 13:50:00,2026-04-18 13:50:00,0.0,0,DN|Departure|HA NOI (HAN)|9G922|2026-04-18 13:50:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,13,5,4,-0.2588190451025208,-0.9659258262890683,9G,9,819.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,09:35,09:35,Hải Phòng (HPH),VN1670,3-16,DN,HAI PHONG (HPH),other,2026-04-18 09:35:00,2026-04-18 09:35:00,0.0,0,DN|Departure|HAI PHONG (HPH)|VN1670|2026-04-18 09:35:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,9,5,4,0.7071067811865476,-0.7071067811865475,VN,1670,564.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,13:20,13:20,Cần Thơ (VCA),VJ703,27-34,DN,CAN THO (VCA),other,2026-04-18 13:20:00,2026-04-18 13:20:00,0.0,0,DN|Departure|CAN THO (VCA)|VJ703|2026-04-18 13:20:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,13,5,4,-0.2588190451025208,-0.9659258262890683,VJ,703,789.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,16:05,16:05,Hà Nội (HAN),VJ528,27-34,DN,HA NOI (HAN),other,2026-04-18 16:05:00,2026-04-18 16:05:00,0.0,0,DN|Departure|HA NOI (HAN)|VJ528|2026-04-18 16:05:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,16,5,4,-0.8660254037844384,-0.5000000000000004,VJ,528,954.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,09:10,09:10,TP. Hồ Chí Minh (SGN),9G961,35-39,DN,HO CHI MINH (SGN),other,2026-04-18 09:10:00,2026-04-18 09:10:00,0.0,0,DN|Departure|HO CHI MINH (SGN)|9G961|2026-04-18 09:10:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,9,5,4,0.7071067811865476,-0.7071067811865475,9G,9,539.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,09:55,09:55,TP. Hồ Chí Minh (SGN),VN113,3-16,DN,HO CHI MINH (SGN),other,2026-04-18 09:55:00,2026-04-18 09:55:00,0.0,0,DN|Departure|HO CHI MINH (SGN)|VN113|2026-04-18 09:55:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,9,5,4,0.7071067811865476,-0.7071067811865475,VN,113,584.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,13:50,13:50,TP. Hồ Chí Minh (SGN),BL6037,17-20,DN,HO CHI MINH (SGN),other,2026-04-18 13:50:00,2026-04-18 13:50:00,0.0,0,DN|Departure|HO CHI MINH (SGN)|BL6037|2026-04-18 13:50:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,13,5,4,-0.2588190451025208,-0.9659258262890683,BL,6037,819.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,06:00,06:00,Buôn Mê Thuột (BMV),VN1911,3-16,DN,BUON ME THUOT (BMV),other,2026-04-18 06:00:00,2026-04-18 06:00:00,0.0,0,DN|Departure|BUON ME THUOT (BMV)|VN1911|2026-04-18 06:00:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,6,5,4,1.0,6.123233995736766e-17,VN,1911,349.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,07:15,07:15,Phú Quốc (PQC),VJ719,27-34,DN,PHU QUOC (PQC),other,2026-04-18 07:15:00,2026-04-18 07:15:00,0.0,0,DN|Departure|PHU QUOC (PQC)|VJ719|2026-04-18 07:15:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,7,5,4,0.9659258262890683,-0.25881904510252063,VJ,719,424.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,14:10,14:10,Phú Quốc (PQC),VJ715,27-34,DN,PHU QUOC (PQC),other,2026-04-18 14:10:00,2026-04-18 14:10:00,0.0,0,DN|Departure|PHU QUOC (PQC)|VJ715|2026-04-18 14:10:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,14,5,4,-0.4999999999999997,-0.8660254037844388,VJ,715,839.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,15:40,15:40,Phú Quốc (PQC),9G2965,35-39,DN,PHU QUOC (PQC),other,2026-04-18 15:40:00,2026-04-18 15:40:00,0.0,0,DN|Departure|PHU QUOC (PQC)|9G2965|2026-04-18 15:40:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,15,5,4,-0.7071067811865471,-0.7071067811865479,9G,9,929.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,09:00,09:00,Phú Quốc (PQC),9G2961,35-39,DN,PHU QUOC (PQC),other,2026-04-18 09:00:00,2026-04-18 09:00:00,0.0,0,DN|Departure|PHU QUOC (PQC)|9G2961|2026-04-18 09:00:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,9,5,4,0.7071067811865476,-0.7071067811865475,9G,9,529.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,18:00,18:00,Nha Trang (CXR),VN1941,3-16,DN,NHA TRANG (CXR),other,2026-04-18 18:00:00,2026-04-18 18:00:00,0.0,0,DN|Departure|NHA TRANG (CXR)|VN1941|2026-04-18 18:00:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,18,5,4,-1.0,-1.8369701987210297e-16,VN,1941,1069.3833333333334,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,15:10,15:10,TP. Hồ Chí Minh (SGN),VU673,21-24,DN,HO CHI MINH (SGN),other,2026-04-18 15:10:00,2026-04-18 15:10:00,0.0,0,DN|Departure|HO CHI MINH (SGN)|VU673|2026-04-18 15:10:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,15,5,4,-0.7071067811865471,-0.7071067811865479,VU,673,899.3833333333333,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,21:05,21:05,TP. Hồ Chí Minh (SGN),VN143,3-16,DN,HO CHI MINH (SGN),other,2026-04-18 21:05:00,2026-04-18 21:05:00,0.0,0,DN|Departure|HO CHI MINH (SGN)|VN143|2026-04-18 21:05:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,21,5,4,-0.7071067811865477,0.7071067811865474,VN,143,1254.3833333333334,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,18:40,18:40,TP. Hồ Chí Minh (SGN),VN141,3-16,DN,HO CHI MINH (SGN),other,2026-04-18 18:40:00,2026-04-18 18:40:00,0.0,0,DN|Departure|HO CHI MINH (SGN)|VN141|2026-04-18 18:40:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,18,5,4,-1.0,-1.8369701987210297e-16,VN,141,1109.3833333333334,0,Medium,3,0.0
2026-04-18 00:10:37,2026-04-18,Departure,17:55,17:55,TP. Hồ Chí Minh (SGN),VN137,3-16,DN,HO CHI MINH (SGN),other,2026-04-18 17:55:00,2026-04-18 17:55:00,0.0,0,DN|Departure|HO CHI MINH (SGN)|VN137|2026-04-18 17:55:00,VVDN,2026-04-17T17:00:00.000Z,2026-04-18 00:00:00,27,24,130.0,7,6.0,BKN@900ft,METAR VVDN 171700Z 13007KT 9999 BKN009 27/24 Q1011 NOSIG,0,10.616666666666667,17,5,4,-0.9659258262890683,-0.25881904510252063,VN,137,1064.3833333333334,0,Medium,3,0.0
