Data Retrieved At (VN),Flight Date,Direction,Scheduled Time,Estimated Time,Airport,Flight Number,Status
2026-04-09 23:39:16,2026-04-09,Departure,11:55,12:05,TP. Hồ Chí Minh (SGN),VN123,3-16
2026-04-09 23:39:16,2026-04-09,Departure,12:40,13:15,Hà Nội (HAN),VJ1504,27-34
2026-04-09 23:39:16,2026-04-09,Departure,12:55,13:05,TP. Hồ Chí Minh (SGN),VN127,3-16
2026-04-09 23:39:16,2026-04-09,Departure,13:00,13:00,Hà Nội (HAN),VN168,3-16
2026-04-09 23:39:16,2026-04-09,Departure,13:15,13:15,Hà Nội (HAN),VJ510,27-34
2026-04-09 23:39:16,2026-04-09,Departure,13:20,13:20,Cần Thơ (VCA),VJ703,27-34
2026-04-09 23:39:16,2026-04-09,Departure,13:20,13:40,Hà Nội (HAN),9G922,35-39
2026-04-09 23:39:16,2026-04-09,Departure,13:40,13:40,TP. Hồ Chí Minh (SGN),VN129,3-16
2026-04-09 23:39:16,2026-04-09,Departure,13:45,13:45,Hà Nội (HAN),VN172,3-16
2026-04-09 23:39:16,2026-04-09,Departure,13:50,13:50,Hà Nội (HAN),VN170,3-16
2026-04-09 23:39:16,2026-04-09,Departure,13:50,13:50,TP. Hồ Chí Minh (SGN),BL6037,17-20
2026-04-09 23:39:16,2026-04-09,Departure,13:55,13:55,Hà Nội (HAN),VN7190,3-16
2026-04-09 23:39:16,2026-04-09,Departure,14:05,14:05,Hà Nội (HAN),VJ508,27-34
2026-04-09 23:39:16,2026-04-09,Departure,14:10,14:10,Phú Quốc (PQC),VJ715,27-34
2026-04-09 23:39:16,2026-04-09,Departure,14:50,14:50,TP. Hồ Chí Minh (SGN),VJ633,27-34
2026-04-09 23:39:16,2026-04-09,Departure,15:10,15:10,TP. Hồ Chí Minh (SGN),VU673,21-24
2026-04-09 23:39:16,2026-04-09,Departure,15:35,15:35,TP. Hồ Chí Minh (SGN),VN133,3-16
2026-04-09 23:39:16,2026-04-09,Departure,15:40,15:40,Phú Quốc (PQC),9G2965,35-39
2026-04-09 23:39:16,2026-04-09,Departure,15:50,15:50,TP. Hồ Chí Minh (SGN),VN7107,3-16
2026-04-09 23:39:16,2026-04-09,Departure,16:05,16:05,Hà Nội (HAN),VJ528,27-34
2026-04-09 23:39:16,2026-04-09,Departure,16:15,16:15,TP. Hồ Chí Minh (SGN),9G981,35-39
2026-04-09 23:39:16,2026-04-09,Departure,16:35,16:45,Hà Nội (HAN),VN174,3-16
2026-04-09 23:39:16,2026-04-09,Departure,16:40,17:20,TP. Hồ Chí Minh (SGN),VJ637,27-34
2026-04-09 23:39:16,2026-04-09,Departure,16:55,16:55,Hà Nội (HAN),VJ512,27-34
2026-04-09 23:39:16,2026-04-09,Departure,17:05,17:05,TP. Hồ Chí Minh (SGN),VJ639,27-34
2026-04-09 23:39:16,2026-04-09,Departure,17:25,17:25,TP. Hồ Chí Minh (SGN),9G983,35-39
