Data Retrieved At (VN),Flight Date,Direction,Scheduled Time,Estimated Time,Airport,Flight Number,Status
2026-04-09 23:40:26,2026-04-09,Departure,23:10,23:15,Hà Nội,VN 221,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Departure,23:30,23:25,Hà Nội,QH 281,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Departure,23:35,23:30,Hà Nội,9G 883,Đã hạ cánh
2026-04-09 23:40:26,2026-04-09,Departure,23:35,00:15,Hà Nội,VJ 163,Đến trễ
2026-04-09 23:40:26,2026-04-09,Departure,22:10,,Hà Nội,VN 263,
2026-04-09 23:40:26,2026-04-09,Departure,22:10,,Hà Nội,VU 787,
2026-04-09 23:40:26,2026-04-09,Departure,22:20,,Hà Nội,VJ 159,
2026-04-09 23:40:26,2026-04-09,Departure,22:25,,Hải Phòng,VJ 283,
2026-04-09 23:40:26,2026-04-09,Departure,22:40,,Hà Nội,VN 265,
2026-04-09 23:40:26,2026-04-09,Departure,22:40,,Hải Phòng,VN 1187,
2026-04-09 23:40:26,2026-04-09,Departure,22:40,,Đà Nẵng,VN 143,
2026-04-09 23:40:26,2026-04-09,Departure,22:55,,Cam Ranh,VN 1351,
2026-04-09 23:40:26,2026-04-09,Departure,23:10,,Hà Nội,VN 221,
2026-04-09 23:40:26,2026-04-09,Departure,23:10,,Vinh,VN 1269,
2026-04-09 23:40:26,2026-04-09,Departure,23:15,,Đà Nẵng,VJ 647,
2026-04-09 23:40:26,2026-04-09,Departure,23:15,,Phú Quốc,VN 1834,
2026-04-09 23:40:26,2026-04-09,Departure,23:20,,Vinh,VJ 217,
2026-04-09 23:40:26,2026-04-09,Departure,23:30,,Hà Nội,QH 281,
2026-04-09 23:40:26,2026-04-09,Departure,23:35,,Hà Nội,VJ 163,
2026-04-09 23:40:26,2026-04-09,Departure,23:35,,Hà Nội,9G 883,
2026-04-12 19:23:53,2026-04-12,Arrival,18:10,18:25,Thanh Hóa,VJ 253,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,18:10,18:30,Vinh,VJ 213,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,18:30,18:35,Vinh,VN 1267,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,18:30,18:35,Hải Phòng,BL 6441,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,18:00,18:40,Đà Nẵng,VJ 637,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,18:30,18:50,Đà Nẵng,VJ 639,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,18:25,18:55,Hải Phòng,VJ 279,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,19:00,18:55,Đà Nẵng,VN 135,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,18:55,19:10,Đà Nẵng,9G 983,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,19:10,,Phú Quốc,9G 1978,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,19:05,19:10,Hà Nội,QH 271,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,19:10,19:20,Hà Nội,VN 217,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,19:20,19:00,Huế,VN 1375,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,19:30,19:25,Pleiku,VJ 395,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,19:00,19:30,Hà Nội,VJ 151,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,19:35,19:20,Chu Lai,VN 1469,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Arrival,19:50,,Hà Nội,VN 257,
2026-04-12 19:23:53,2026-04-12,Arrival,19:50,19:45,Huế,BL 6161,
2026-04-12 19:23:53,2026-04-12,Arrival,19:50,20:00,Hải Phòng,VJ 273,
2026-04-12 19:23:53,2026-04-12,Arrival,19:45,20:00,Đà Nẵng,VN 137,Đến trễ
2026-04-12 19:23:53,2026-04-12,Arrival,19:45,20:05,Hải Phòng,VJ 281,Đến trễ
2026-04-12 19:23:53,2026-04-12,Arrival,20:10,,Hà Nội,VJ 1153,
2026-04-12 19:23:53,2026-04-12,Arrival,20:10,20:15,Hà Nội,VN 259,
2026-04-12 19:23:53,2026-04-12,Arrival,20:15,20:05,Đà Nẵng,VN 141,
2026-04-12 19:23:53,2026-04-12,Arrival,20:25,,Buôn Ma Thuột,VJ 353,
2026-04-12 19:23:53,2026-04-12,Arrival,20:40,,Hà Nội,9G 869,
2026-04-12 19:23:53,2026-04-12,Arrival,20:50,,Thanh Hóa,VJ 255,
2026-04-12 19:23:53,2026-04-12,Arrival,21:05,,Đà Nẵng,VN 7107,
2026-04-12 19:23:53,2026-04-12,Arrival,21:05,,Phú Quốc,9G 1984,
2026-04-12 19:23:53,2026-04-12,Arrival,21:05,,Hà Nội,VJ 155,
2026-04-12 19:23:53,2026-04-12,Departure,18:10,18:25,Thanh Hóa,VJ 253,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,18:10,18:30,Vinh,VJ 213,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,18:30,18:35,Vinh,VN 1267,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,18:30,18:35,Hải Phòng,BL 6441,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,18:00,18:40,Đà Nẵng,VJ 637,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,18:30,18:50,Đà Nẵng,VJ 639,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,18:25,18:55,Hải Phòng,VJ 279,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,19:00,18:55,Đà Nẵng,VN 135,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,18:55,19:10,Đà Nẵng,9G 983,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,19:10,,Phú Quốc,9G 1978,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,19:05,19:10,Hà Nội,QH 271,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,19:10,19:20,Hà Nội,VN 217,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,19:20,19:00,Huế,VN 1375,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,19:30,19:25,Pleiku,VJ 395,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,19:00,19:30,Hà Nội,VJ 151,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,19:35,19:20,Chu Lai,VN 1469,Đã hạ cánh
2026-04-12 19:23:53,2026-04-12,Departure,19:50,,Hà Nội,VN 257,
2026-04-12 19:23:53,2026-04-12,Departure,19:50,19:45,Huế,BL 6161,
2026-04-12 19:23:53,2026-04-12,Departure,19:50,20:00,Hải Phòng,VJ 273,
2026-04-12 19:23:53,2026-04-12,Departure,19:45,20:00,Đà Nẵng,VN 137,Đến trễ
2026-04-12 19:23:53,2026-04-12,Departure,19:45,20:05,Hải Phòng,VJ 281,Đến trễ
2026-04-12 19:23:53,2026-04-12,Departure,20:10,,Hà Nội,VJ 1153,
2026-04-12 19:23:53,2026-04-12,Departure,20:10,20:15,Hà Nội,VN 259,
2026-04-12 19:23:53,2026-04-12,Departure,20:15,20:05,Đà Nẵng,VN 141,
2026-04-12 19:23:53,2026-04-12,Departure,20:25,,Buôn Ma Thuột,VJ 353,
2026-04-12 19:23:53,2026-04-12,Departure,20:40,,Hà Nội,9G 869,
2026-04-12 19:23:53,2026-04-12,Departure,20:50,,Thanh Hóa,VJ 255,
2026-04-12 19:23:53,2026-04-12,Departure,21:05,,Đà Nẵng,VN 7107,
2026-04-12 19:23:53,2026-04-12,Departure,21:05,,Phú Quốc,9G 1984,
2026-04-12 19:23:53,2026-04-12,Departure,21:05,,Hà Nội,VJ 155,
2026-04-13 15:41:18,2026-04-13,Arrival,14:30,14:40,Hà Nội,VN 251,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,14:45,,Côn Đảo,0V 8062,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,14:30,14:50,Huế,VN 1371,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,14:30,14:50,Hải Phòng,VJ 275,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,14:30,14:50,Hà Nội,VJ 137,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,15:00,14:55,Thanh Hóa,VN 1273,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,15:25,15:15,Đà Nẵng,VN 129,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,15:25,15:10,Đà Nẵng,BL 6037,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,15:25,15:05,Vinh,VN 1265,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,15:35,15:40,Vinh,VJ 211,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,15:40,15:35,Côn Đảo,VN 7894,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,15:45,15:35,Cam Ranh,VN 1345,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,15:55,15:45,Hà Nội,VN 213,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,16:00,15:45,Thanh Hóa,VN 1277,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Arrival,16:10,,Hà Nội,VN 253,
2026-04-13 15:41:18,2026-04-13,Arrival,16:15,16:10,Thanh Hóa,VJ 247,
2026-04-13 15:41:18,2026-04-13,Arrival,16:15,16:20,Hà Nội,VJ 143,
2026-04-13 15:41:18,2026-04-13,Arrival,15:45,16:20,Phú Quốc,VN 1826,Đến trễ
2026-04-13 15:41:18,2026-04-13,Arrival,16:20,16:25,Côn Đảo,VN 1896,
2026-04-13 15:41:18,2026-04-13,Arrival,16:45,16:20,Đà Nẵng,VU 673,
2026-04-13 15:41:18,2026-04-13,Arrival,16:50,,Quy Nhơn,VN 1395,
2026-04-13 15:41:18,2026-04-13,Arrival,16:25,16:50,Đà Nẵng,VJ 633,Đến trễ
2026-04-13 15:41:18,2026-04-13,Arrival,16:55,,Đà Nẵng,VN 133,
2026-04-13 15:41:18,2026-04-13,Arrival,17:00,,Hà Nội,QH 261,
2026-04-13 15:41:18,2026-04-13,Arrival,17:05,,Côn Đảo,0V 8056,
2026-04-13 15:41:18,2026-04-13,Arrival,17:10,,Hà Nội,VN 215,
2026-04-13 15:41:18,2026-04-13,Arrival,17:15,,Phú Quốc,VJ 336,
2026-04-13 15:41:18,2026-04-13,Arrival,17:25,,Cam Ranh,VJ 601,
2026-04-13 15:41:18,2026-04-13,Arrival,17:30,,Phú Quốc,VJ 326,
2026-04-13 15:41:18,2026-04-13,Arrival,17:30,,Quy Nhơn,VN 1397,
2026-04-13 15:41:18,2026-04-13,Departure,14:30,14:40,Hà Nội,VN 251,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,14:45,,Côn Đảo,0V 8062,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,14:30,14:50,Huế,VN 1371,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,14:30,14:50,Hải Phòng,VJ 275,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,14:30,14:50,Hà Nội,VJ 137,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,15:00,14:55,Thanh Hóa,VN 1273,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,15:25,15:15,Đà Nẵng,VN 129,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,15:25,15:10,Đà Nẵng,BL 6037,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,15:25,15:05,Vinh,VN 1265,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,15:35,15:40,Vinh,VJ 211,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,15:40,15:35,Côn Đảo,VN 7894,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,15:45,15:35,Cam Ranh,VN 1345,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,15:55,15:45,Hà Nội,VN 213,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,16:00,15:45,Thanh Hóa,VN 1277,Đã hạ cánh
2026-04-13 15:41:18,2026-04-13,Departure,16:10,,Hà Nội,VN 253,
2026-04-13 15:41:18,2026-04-13,Departure,16:15,16:10,Thanh Hóa,VJ 247,
2026-04-13 15:41:18,2026-04-13,Departure,16:15,16:20,Hà Nội,VJ 143,
2026-04-13 15:41:18,2026-04-13,Departure,15:45,16:20,Phú Quốc,VN 1826,Đến trễ
2026-04-13 15:41:18,2026-04-13,Departure,16:20,16:25,Côn Đảo,VN 1896,
2026-04-13 15:41:18,2026-04-13,Departure,16:45,16:20,Đà Nẵng,VU 673,
2026-04-13 15:41:18,2026-04-13,Departure,16:50,,Quy Nhơn,VN 1395,
2026-04-13 15:41:18,2026-04-13,Departure,16:25,16:50,Đà Nẵng,VJ 633,Đến trễ
2026-04-13 15:41:18,2026-04-13,Departure,16:55,,Đà Nẵng,VN 133,
2026-04-13 15:41:18,2026-04-13,Departure,17:00,,Hà Nội,QH 261,
2026-04-13 15:41:18,2026-04-13,Departure,17:05,,Côn Đảo,0V 8056,
2026-04-13 15:41:18,2026-04-13,Departure,17:10,,Hà Nội,VN 215,
2026-04-13 15:41:18,2026-04-13,Departure,17:15,,Phú Quốc,VJ 336,
2026-04-13 15:41:18,2026-04-13,Departure,17:25,,Cam Ranh,VJ 601,
2026-04-13 15:41:18,2026-04-13,Departure,17:30,,Phú Quốc,VJ 326,
2026-04-13 15:41:18,2026-04-13,Departure,17:30,,Quy Nhơn,VN 1397,
